"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"YESBANK","EQ","20-Apr-2020","         25.10","         25.60","         30.10","         25.10","         29.75","         29.45","         28.70","  114977373","          3300280512.65","     332695","   24442623","         21.26"
"YESBANK","EQ","21-Apr-2020","         29.45","         29.40","         30.45","         27.55","         29.55","         29.65","         29.48","   76224557","          2247227870.00","     239510","   18191318","         23.87"
"YESBANK","EQ","22-Apr-2020","         29.65","         29.00","         30.30","         28.80","         29.60","         29.60","         29.48","   35026262","          1032738106.80","     156808","    9570333","         27.32"
"YESBANK","EQ","23-Apr-2020","         29.60","         29.60","         29.90","         27.85","         28.30","         28.30","         28.92","   33488476","           968589674.65","     145896","   11645113","         34.77"
"YESBANK","EQ","24-Apr-2020","         28.30","         28.05","         28.15","         26.30","         26.75","         26.60","         26.95","   34135568","           920113042.85","     123302","   10831230","         31.73"
"YESBANK","EQ","27-Apr-2020","         26.60","         26.80","         27.70","         25.90","         27.00","         27.05","         26.84","   32510645","           872561219.60","     126513","    7166725","         22.04"
"YESBANK","EQ","28-Apr-2020","         27.05","         27.25","         27.80","         26.85","         27.25","         27.25","         27.26","   18704468","           509967892.60","      65001","    5243295","         28.03"
"YESBANK","EQ","29-Apr-2020","         27.25","         27.00","         29.35","         26.60","         28.30","         28.05","         28.23","   42492004","          1199646780.40","     145468","    9296385","         21.88"
"YESBANK","EQ","30-Apr-2020","         28.05","         28.70","         28.95","         27.70","         27.85","         27.90","         28.37","   32094929","           910398761.30","     106821","   13373113","         41.67"
"YESBANK","EQ","04-May-2020","         27.90","         27.50","         27.65","         26.60","         27.10","         27.05","         27.06","   22743110","           615361486.80","      96193","    6416353","         28.21"
"YESBANK","EQ","05-May-2020","         27.05","         27.40","         27.65","         26.50","         26.70","         26.60","         26.86","   16870245","           453214467.10","      83154","    5608979","         33.25"
"YESBANK","EQ","06-May-2020","         26.60","         26.40","         26.75","         25.00","         26.40","         26.30","         26.13","   22891215","           598063098.80","      84502","    4897831","         21.40"
"YESBANK","EQ","07-May-2020","         26.30","         25.75","         31.55","         25.55","         28.05","         28.10","         28.98","   99686585","          2888732506.15","     227237","   16941451","         16.99"
"YESBANK","EQ","08-May-2020","         28.10","         28.10","         28.80","         26.65","         26.95","         27.05","         27.45","   28714694","           788203422.55","      95719","    7662615","         26.69"
"YESBANK","EQ","11-May-2020","         27.05","         27.25","         28.05","         26.70","         27.75","         27.80","         27.59","   29809727","           822459886.60","      83625","   10333727","         34.67"
"YESBANK","EQ","12-May-2020","         27.80","         27.70","         28.40","         26.85","         27.95","         27.95","         27.76","   21395834","           593995890.30","      74548","    5387734","         25.18"
"YESBANK","EQ","13-May-2020","         27.95","         29.00","         29.45","         28.10","         28.75","         28.65","         28.61","   25829898","           738996732.75","      97833","    8102078","         31.37"
"YESBANK","EQ","14-May-2020","         28.65","         28.40","         28.80","         27.90","         28.20","         28.20","         28.32","   13377407","           378897491.00","      45799","    4106738","         30.70"
"YESBANK","EQ","15-May-2020","         28.20","         28.20","         29.00","         27.30","         28.70","         28.70","         28.50","   23447394","           668170313.30","      72060","    8181847","         34.89"
"YESBANK","EQ","18-May-2020","         28.70","         28.65","         28.65","         26.80","         27.60","         27.55","         27.67","   20466695","           566298009.10","      61339","    5627423","         27.50"
"YESBANK","EQ","19-May-2020","         27.55","         27.70","         28.00","         27.10","         27.40","         27.40","         27.62","   16161651","           446327353.60","      51088","    4413908","         27.31"
"YESBANK","EQ","20-May-2020","         27.40","         27.15","         27.60","         27.10","         27.20","         27.15","         27.24","    9932936","           270533181.50","      41038","    4536974","         45.68"
"YESBANK","EQ","21-May-2020","         27.15","         27.20","         27.60","         26.80","         26.90","         26.90","         27.08","   12109506","           327971317.75","      52210","    4941035","         40.80"
"YESBANK","EQ","22-May-2020","         26.90","         26.95","         27.00","         26.00","         26.60","         26.55","         26.50","   14604827","           387088689.80","      51172","    5549183","         38.00"
"YESBANK","EQ","26-May-2020","         26.55","         26.95","         28.15","         26.35","         27.40","         27.40","         27.28","   19431968","           530108659.95","      51815","    6030936","         31.04"
"YESBANK","EQ","27-May-2020","         27.40","         27.45","         27.90","         27.35","         27.85","         27.60","         27.62","   12273293","           338970211.40","      33879","    4463001","         36.36"
"YESBANK","EQ","28-May-2020","         27.60","         27.85","         28.80","         26.85","         26.95","         27.00","         27.63","   27673481","           764635781.60","      72303","   12245087","         44.25"
"YESBANK","EQ","29-May-2020","         27.00","         26.50","         27.40","         26.50","         26.80","         26.85","         27.00","   15150164","           409053160.00","      41967","    6956125","         45.91"
"YESBANK","EQ","01-Jun-2020","         26.85","         27.55","         27.60","         27.00","         27.25","         27.15","         27.24","   11175200","           304378683.70","      33191","    6226501","         55.72"
"YESBANK","EQ","02-Jun-2020","         27.15","         27.25","         27.40","         27.05","         27.25","         27.15","         27.19","   10006691","           272085628.55","      47119","    4906794","         49.04"
"YESBANK","EQ","03-Jun-2020","         27.15","         27.60","         29.40","         27.25","         28.00","         27.95","         28.20","   31713741","           894460498.95","      85843","   11946698","         37.67"
"YESBANK","EQ","04-Jun-2020","         27.95","         28.00","         28.70","         27.80","         27.95","         27.95","         28.16","   12148979","           342069466.80","      53365","    5476784","         45.08"
"YESBANK","EQ","05-Jun-2020","         27.95","         28.00","         29.20","         28.00","         28.95","         28.85","         28.53","   18870401","           538317879.60","      64928","   10929901","         57.92"
